Date,Open,High,Low,Close,Points_Change,Change_Pct,Volume_Cr,Turnover_Rs_Cr,PE,PB,Div_Yield,Daily_Return
2024-01-05,31002.43,31047.46,30816.61,30971.04,79.24,0.26,46.52,5801.64,26.04,3.71,1.1,0.002565081995869578
2024-01-08,31055.95,31056.07,30673.13,30694.41,-276.63,-0.89,44.17,5278.21,25.76,3.67,1.12,-0.008931892503448391
2024-01-09,30904.98,30977.92,30731.04,30761.38,66.97,0.22,46.13,5178.6,25.83,3.68,1.11,0.0021818305026877205
2024-01-10,30797.06,30881.22,30606.2,30858.6,97.22,0.32,34.97,4592.57,25.92,3.7,1.11,0.00316045639044793
2024-01-11,30989.8,31032.87,30882.5,30961.04,102.44,0.33,30.2,5151.72,26.02,3.71,1.11,0.003319658053184682
2024-01-12,31134.98,31274.58,31047.75,31215.69,254.65,0.82,34.77,7363.46,26.25,3.74,1.09,0.008224852911917546
2024-01-15,31418.78,31459.22,31253.65,31440.7,225.01,0.72,37.54,5911.62,26.41,3.76,1.09,0.00720823406434401
2024-01-16,31473.62,31500.8,31207.65,31346.19,-94.51,-0.3,43.88,6093.99,26.28,3.75,1.09,-0.003005976330043625
2024-01-17,30991.83,31159.26,30784.45,30808.23,-537.96,-1.72,37.48,5570.66,25.79,3.68,1.12,-0.01716189431634274
2024-01-18,30668.72,30778.23,30264.47,30693.11,-115.12,-0.37,40.46,6772.43,25.56,3.66,1.12,-0.003736663871958812
2024-01-19,30950.27,31024.05,30886.56,31000.47,307.36,1.0,36.9,8354.22,25.83,3.7,1.1,0.010013973820183208
2024-01-20,31154.28,31179.18,30967.05,30992.54,-7.93,-0.03,24.61,4442.02,25.81,3.7,1.11,-0.0002558025733158109
2024-01-23,31198.9,31237.61,30298.09,30370.48,-622.06,-2.01,43.77,7449.01,25.09,3.61,1.13,-0.020071281669717944
2024-01-24,30365.49,30787.84,30176.35,30756.68,386.2,1.27,41.83,7779.26,25.4,3.65,1.11,0.012716295560689206
2024-01-25,30804.3,30809.15,30501.64,30669.27,-87.41,-0.28,52.78,16473.02,25.29,3.63,1.12,-0.00284198424537363
2024-01-29,30804.55,31198.54,30774.16,31175.72,506.45,1.65,40.07,6800.81,25.35,3.68,1.1,0.01651327207983755
2024-01-30,31273.14,31308.02,30928.54,30948.54,-227.18,-0.73,40.17,6209.36,25.17,3.66,1.11,-0.007287081100292192
2024-01-31,30979.73,31317.81,30910.45,31303.35,354.81,1.15,31.18,5896.52,25.5,3.7,1.11,0.011464514965811023
2024-02-01,31437.09,31437.12,31147.88,31254.33,-49.02,-0.16,64.34,13643.22,25.43,3.7,1.11,-0.0015659665818513746
2024-02-02,31417.18,31768.37,31416.87,31471.57,217.24,0.7,44.44,7875.92,25.56,3.72,1.1,0.006950716908665111
2024-02-05,31597.98,31671.84,31303.72,31374.18,-97.39,-0.31,48.74,7849.13,25.41,3.7,1.11,-0.0030945389759710062
2024-02-06,31505.48,31680.92,31335.34,31661.8,287.62,0.92,46.01,6314.68,25.74,3.74,1.11,0.009167410909225238
2024-02-07,31855.61,31868.88,31628.07,31776.4,114.6,0.36,67.69,7728.42,25.86,3.75,1.1,0.003619503628978782
2024-02-08,31936.4,31938.81,31525.87,31590.02,-186.38,-0.59,56.24,7675.48,25.71,3.73,1.11,-0.0058653591973918395
2024-02-09,31631.74,31658.35,31195.77,31540.02,-50.0,-0.16,55.8,8127.93,25.58,3.72,1.11,-0.0015827783584815291
2024-02-12,31623.31,31624.28,31038.1,31097.18,-442.84,-1.4,39.07,6166.0,25.21,3.67,1.13,-0.014040574482831691
2024-02-13,31138.08,31292.2,30845.83,31273.51,176.33,0.57,37.9,5762.5,25.35,3.69,1.12,0.005670289074443335
