Date,Open,High,Low,Close,Daily_Return
2022-10-31,15333.15,15433.05,15327.4,15424.0,0.011967247533067438
2022-11-01,15507.95,15545.85,15460.7,15537.4,0.007352178423236433
2022-11-02,15560.45,15561.1,15470.4,15497.55,-0.0025647791779834783
2022-11-03,15407.8,15519.15,15401.3,15484.7,-0.0008291633193633352
2022-11-04,15495.75,15542.15,15454.3,15530.85,0.00298036125982426
2022-11-07,15610.95,15647.25,15505.75,15615.15,0.005427906392760251
2022-11-09,15684.45,15686.35,15534.85,15567.25,-0.0030675337732906094
2022-11-10,15490.25,15523.9,15384.35,15440.0,-0.008174211887134852
2022-11-11,15633.5,15662.05,15612.45,15649.1,0.013542746113989645
2022-11-14,15672.5,15684.25,15627.75,15650.2,7.029158226345977e-05
2022-11-15,15678.5,15708.9,15609.5,15693.9,0.0027922965840692093
2022-11-16,15696.55,15711.3,15607.25,15663.3,-0.0019498021524286813
2022-11-17,15630.55,15661.1,15573.95,15597.25,-0.00421686362388507
2022-11-18,15634.3,15644.8,15472.35,15550.85,-0.002974883392905747
2022-11-21,15514.6,15523.15,15431.2,15453.8,-0.006240816418395245
2022-11-22,15472.65,15518.1,15437.3,15509.2,0.0035848788000363285
2022-11-23,15572.75,15572.9,15520.25,15538.15,0.0018666339978850033
2022-11-24,15588.45,15706.5,15567.75,15680.8,0.00918062961163324
2022-11-25,15719.8,15743.1,15668.35,15727.25,0.0029622213152391552
2022-11-28,15683.75,15817.35,15642.8,15784.45,0.003636999475432834
2022-11-29,15784.55,15859.35,15782.4,15812.45,0.001773897728460705
2022-11-30,15827.45,15991.6,15820.55,15946.15,0.00845536270470415
2022-12-01,16041.15,16041.65,15972.75,16003.95,0.0036246993788469073
2022-12-02,15977.5,15991.05,15909.6,15963.5,-0.002527501023184997
2022-12-05,15994.95,15999.8,15881.8,15967.2,0.00023177874526258968
2022-12-06,15904.1,15936.7,15881.6,15922.85,-0.0027775690164838496
2022-12-07,15932.25,15953.25,15836.05,15862.0,-0.0038215520462731023
2022-12-08,15881.8,15918.75,15860.3,15911.1,0.003095448241079435
2022-12-09,15964.85,15967.3,15727.35,15812.75,-0.0061812194002929255
2022-12-12,15759.65,15836.85,15687.95,15828.0,0.0009644116298557215
2022-12-13,15863.25,15913.8,15830.65,15904.5,0.004833206974981019
2022-12-14,15958.15,15988.55,15946.3,15963.8,0.0037285045113018
2022-12-15,15938.05,15968.2,15758.85,15783.8,-0.011275510843282932
2022-12-16,15710.9,15799.35,15625.25,15636.35,-0.009341856840557994
2022-12-19,15658.85,15764.0,15606.15,15755.2,0.007600878721696569
2022-12-20,15704.05,15740.25,15580.8,15726.2,-0.0018406621305981918
2022-12-21,15772.95,15812.05,15497.6,15527.55,-0.01263178644554952
2022-12-22,15599.55,15636.1,15369.6,15431.5,-0.006185779469394692
2022-12-23,15300.75,15349.35,15018.75,15046.0,-0.024981369277127907
2022-12-26,15060.85,15350.35,14985.4,15298.55,0.01678519207762852
2022-12-27,15375.2,15433.65,15278.6,15418.35,0.007830807494828118
2022-12-28,15390.55,15468.15,15363.65,15432.8,0.0009371949657388523
2022-12-29,15370.0,15517.45,15307.0,15485.2,0.003395365714581988
2022-12-30,15557.75,15581.95,15425.65,15448.85,-0.0023474026812698723
2023-01-02,15479.95,15536.35,15433.3,15523.65,0.004841784339934652
2023-01-03,15515.75,15575.7,15500.75,15557.8,0.0021998692317850566
2023-01-04,15563.15,15574.5,15375.8,15393.0,-0.010592757330727953
2023-01-05,15446.5,15462.15,15286.4,15386.2,-0.00044175924121347965
2023-01-06,15401.35,15419.4,15219.85,15272.0,-0.007422235509742525
2023-01-09,15360.4,15472.15,15353.35,15450.1,0.011661864850707193
2023-01-10,15470.0,15472.45,15262.1,15325.25,-0.008080853845606195
2023-01-11,15342.75,15375.1,15257.0,15301.35,-0.0015595177892693268
2023-01-12,15329.7,15347.2,15203.55,15279.6,-0.0014214432059915794
2023-01-13,15295.9,15370.05,15215.0,15346.1,0.0043522081729887585
2023-01-16,15398.15,15421.25,15276.5,15305.45,-0.002648881474772047
2023-01-17,15328.85,15411.0,15291.6,15396.15,0.005925993681989095
2023-01-18,15416.6,15479.65,15376.5,15466.35,0.004559581453805084
2023-01-19,15427.15,15455.15,15387.25,15419.7,-0.0030162255477212963
2023-01-20,15428.2,15443.45,15336.7,15347.9,-0.0046563811228493845
2023-01-23,15411.5,15427.5,15364.25,15403.2,0.003603098795275095
2023-01-24,15451.2,15459.3,15364.2,15388.55,-0.0009511010699077005
2023-01-25,15364.4,15368.7,15146.4,15171.95,-0.014075400216394529
2023-01-27,15160.15,15165.4,14779.1,14874.75,-0.019588780611589196
2023-01-30,14807.5,14955.15,14675.05,14854.2,-0.0013815358241314746
2023-01-31,14906.45,14962.95,14787.85,14935.5,0.005473199499131498
2023-02-01,15054.8,15154.1,14622.65,14847.65,-0.00588195909075695
2023-02-02,14760.35,14887.45,14698.4,14839.4,-0.0005556434856694992
2023-02-03,14904.1,14972.15,14746.45,14962.35,0.00828537541949137
2023-02-06,14939.4,14954.3,14870.55,14934.15,-0.0018847306739917524
2023-02-07,14950.15,14970.8,14845.95,14902.2,-0.0021393919305751075
2023-02-08,14927.55,15046.7,14924.05,15028.3,0.008461837849444986
2023-02-09,15036.85,15054.75,14956.9,15030.1,0.00011977402633700507
2023-02-10,14992.65,15031.1,14969.55,15015.85,-0.0009480974843812939
2023-02-13,15011.35,15022.55,14875.85,14900.5,-0.007681882810496976
2023-02-14,14936.2,14988.0,14879.35,14968.9,0.00459044998489988
2023-02-15,14939.0,15053.55,14923.25,15039.65,0.004726466206601776
2023-02-16,15098.45,15135.35,15060.0,15083.75,0.0029322490882435215
2023-02-17,15036.25,15077.0,14966.3,15003.95,-0.005290461589458784
2023-02-20,15023.45,15036.45,14920.7,14938.65,-0.004352187257355644
2023-02-21,14982.0,14992.7,14894.15,14913.95,-0.001653429192062128
2023-02-22,14854.15,14861.05,14674.25,14701.9,-0.014218231923803004
2023-02-23,14715.2,14740.8,14599.1,14666.75,-0.0023908474414870984
2023-02-24,14723.4,14741.95,14598.95,14630.45,-0.0024749859375798877
2023-02-27,14600.9,14609.4,14465.7,14548.7,-0.005587661350129336
2023-02-28,14550.0,14584.45,14476.0,14518.75,-0.00205860317416684
2023-03-01,14557.0,14675.05,14550.1,14664.85,0.010062849763237125
2023-03-02,14654.8,14668.4,14575.95,14587.25,-0.005291564523333014
