date,close,high,low,open,volume,adj_close,daily_return,return_zscore
2024-03-13,19646.30078125,20247.900390625,19549.5,20236.80078125,41486300,19646.30078125,-0.026031886691369688,-2.894169024273124
2024-03-14,19916.349609375,19933.900390625,19514.69921875,19598.400390625,38249400,19916.349609375,0.013745530577579768,1.4587704768473595
2024-03-15,19825.19921875,19942.400390625,19671.150390625,19867.75,41574600,19825.19921875,-0.004576661507392554,-0.5462715582988172
2024-03-18,19843.099609375,19894.44921875,19709.19921875,19804.30078125,22428300,19843.099609375,0.0009029110087364067,0.0533713871804799
2024-03-19,19610.55078125,19798.94921875,19594.099609375,19785.80078125,21287100,19610.55078125,-0.011719380172598215,-1.32791663125419
2024-03-20,19632.05078125,19697.44921875,19465.849609375,19651.69921875,21521000,19632.05078125,0.0010963486053923166,0.07453973377754795
2024-03-21,19897.400390625,19916.44921875,19790.849609375,19790.849609375,22056500,19897.400390625,0.013516143185022145,1.4336680566632678
2024-03-22,19994.599609375,20048.599609375,19806.69921875,19855.0,26015800,19994.599609375,0.004885020999818579,0.4891433670651338
2024-03-26,20005.25,20044.5,19895.30078125,19895.55078125,23428500,20005.25,0.0005326633607609654,0.012854286706806668
2024-03-27,20087.80078125,20174.400390625,20063.0,20063.0,28219300,20087.80078125,0.004126455867834666,0.40613174001907604
2024-03-28,20255.150390625,20380.5,20146.150390625,20150.349609375,26471400,20255.150390625,0.00833090745957632,0.8662351019466891
2024-04-01,20492.55078125,20504.5,20387.05078125,20392.25,24756300,20492.55078125,0.011720495086271043,1.2371659186205584
2024-04-02,20569.75,20579.25,20481.849609375,20524.150390625,28128700,20569.75,0.0037671844551745437,0.3668157956675963
2024-04-03,20605.69921875,20657.900390625,20496.55078125,20528.19921875,30258700,20605.69921875,0.0017476740723636475,0.14581586349948478
2024-04-04,20664.650390625,20772.400390625,20537.5,20755.349609375,33121800,20664.650390625,0.0028609158684291813,0.26764062038672237
2024-04-05,20715.099609375,20730.150390625,20609.900390625,20654.75,28297700,20715.099609375,0.0024413294101934824,0.2217242539258174
2024-04-08,20819.099609375,20866.099609375,20768.5,20806.849609375,27481500,20819.099609375,0.005020492392560527,0.5039683310076408
2024-04-09,20790.69921875,20912.75,20741.5,20912.75,22792400,20790.69921875,-0.0013641507633793681,-0.19471869550636897
2024-04-10,20915.19921875,20933.849609375,20822.849609375,20864.55078125,25719500,20915.19921875,0.005988254588749964,0.6098729015080615
2024-04-12,20745.5,20931.400390625,20735.150390625,20873.19921875,32597400,20745.5,-0.00811367929012452,-0.9333360154635143
2024-04-15,20478.75,20623.80078125,20362.30078125,20493.30078125,31952800,20478.75,-0.012858210214263366,-1.4525415720820247
2024-04-16,20423.0,20495.19921875,20326.25,20361.25,31141100,20423.0,-0.0027223341268387546,-0.3433480037541436
2024-04-18,20324.69921875,20617.099609375,20291.150390625,20515.150390625,29636300,20324.69921875,-0.00481323905645592,-0.5721608147941118
2024-04-19,20385.19921875,20428.400390625,20038.349609375,20178.25,27183000,20385.19921875,0.0029766738168595097,0.2803082941797211
2024-04-22,20574.849609375,20604.099609375,20468.099609375,20566.19921875,36990800,20574.849609375,0.009303337612249774,0.9726504982765346
2024-04-23,20652.650390625,20689.75,20621.55078125,20687.900390625,48926300,20652.650390625,0.003781353581051139,0.3683663575682737
2024-04-24,20730.650390625,20772.55078125,20710.19921875,20723.19921875,36984300,20730.650390625,0.0037767549696869906,0.3678631203439472
2024-04-25,20867.900390625,20894.0,20686.69921875,20690.849609375,107777900,20867.900390625,0.0066206316451156155,0.6790754605793142
2024-04-26,20839.349609375,20941.099609375,20814.5,20926.400390625,66099300,20839.349609375,-0.0013681674109785602,-0.19515824702069648
2024-04-29,20992.19921875,21002.099609375,20847.849609375,20911.099609375,41065400,20992.19921875,0.0073346631368109705,0.7572136630731933
2024-04-30,20997.19921875,21146.5,20971.849609375,21052.349609375,36823500,20997.19921875,0.00023818371519324089,-0.01937133701332186
2024-05-02,21083.599609375,21126.099609375,21009.349609375,21010.44921875,32855900,21083.599609375,0.004114853115640527,0.40486202263129056
2024-05-03,20959.55078125,21208.69921875,20830.650390625,21193.44921875,40630500,20959.55078125,-0.005883664574517944,-0.6893000822602472
2024-05-06,20864.94921875,21048.94921875,20805.05078125,21044.099609375,30888200,20864.94921875,-0.004513530060225701,-0.5393629305144283
2024-05-07,20636.05078125,20914.900390625,20548.80078125,20911.349609375,37453900,20636.05078125,-0.010970476616080305,-1.2459622939060697
2024-05-08,20704.900390625,20768.75,20516.25,20586.80078125,27005200,20704.900390625,0.0033363752640866995,0.3196712982596185
2024-05-09,20344.80078125,20736.25,20318.900390625,20681.099609375,26295900,20344.80078125,-0.017391999120075496,-1.948685117159723
2024-05-10,20469.099609375,20482.05078125,20299.099609375,20398.0,22511100,20469.099609375,0.006109611465920928,0.6231532796884337
2024-05-13,20511.0,20540.25,20184.099609375,20471.650390625,24038600,20511.0,0.00204700702154037,0.1785725960356457
2024-05-14,20683.80078125,20709.75,20508.0,20544.349609375,26136600,20683.80078125,0.00842478578567607,0.8765084354619262
2024-05-15,20741.849609375,20811.25,20681.900390625,20744.5,21688100,20741.849609375,0.0028064874893602987,0.2616843905081213
2024-05-16,20929.05078125,20950.55078125,20667.80078125,20846.849609375,24680000,20929.05078125,0.009025288265053666,0.9422228820618566
2024-05-17,21064.55078125,21078.650390625,20934.44921875,20967.400390625,26742600,21064.55078125,0.00647425444260441,0.6630570473533776
2024-05-21,21187.650390625,21224.69921875,21068.849609375,21114.650390625,35418000,21187.650390625,0.005843922837631688,0.5940783270021128
