Index Name,Date,Open,High,Low,Close
NIFTY 500,13-03-2025,20337.85,20357.3,20157.5,20176.05
NIFTY 500,17-03-2025,20166.6,20358.25,20166.5,20288.3
NIFTY 500,18-03-2025,20418.55,20676.95,20370.2,20657.2
NIFTY 500,19-03-2025,20713.25,20895.25,20664.0,20864.5
NIFTY 500,20-03-2025,20989.35,21092.2,20873.55,21070.05
NIFTY 500,21-03-2025,21065.25,21297.0,21031.45,21273.9
NIFTY 500,24-03-2025,21427.2,21595.85,21346.8,21538.1
NIFTY 500,25-03-2025,21652.85,21674.05,21385.8,21437.75
NIFTY 500,26-03-2025,21464.95,21525.6,21255.7,21275.45
NIFTY 500,27-03-2025,21218.4,21447.9,21195.7,21407.95
NIFTY 500,28-03-2025,21439.2,21514.1,21277.9,21339.55
NIFTY 500,01-04-2025,21227.1,21398.35,21042.45,21070.75
NIFTY 500,02-04-2025,21101.85,21279.1,21007.15,21265.65
NIFTY 500,03-04-2025,21100.55,21263.45,21096.75,21243.4
NIFTY 500,04-04-2025,21199.2,21212.1,20736.8,20805.35
NIFTY 500,07-04-2025,19524.25,20189.35,19519.85,20105.7
NIFTY 500,08-04-2025,20430.1,20588.4,20227.15,20480.8
NIFTY 500,09-04-2025,20422.95,20423.25,20252.35,20356.75
NIFTY 500,11-04-2025,20684.85,20817.5,20629.0,20752.85
NIFTY 500,15-04-2025,21199.05,21302.75,21067.6,21279.4
NIFTY 500,16-04-2025,21302.75,21414.85,21246.4,21404.35
NIFTY 500,17-04-2025,21379.35,21704.1,21296.35,21681.55
NIFTY 500,21-04-2025,21787.05,22033.75,21732.45,22005.75
NIFTY 500,22-04-2025,22072.0,22157.95,21953.4,22085.15
NIFTY 500,23-04-2025,22238.6,22263.85,21988.35,22237.6
NIFTY 500,24-04-2025,22217.65,22270.15,22155.4,22180.65
NIFTY 500,25-04-2025,22220.3,22271.85,21661.6,21848.15
NIFTY 500,28-04-2025,21843.45,22125.45,21841.4,22101.85
NIFTY 500,29-04-2025,22160.75,22255.9,22084.55,22112.4
